Rank,Company,City,Country,Funding,Industry,Employees,Revenue,Growth %
376,Lolly.com,New York C...,USA,,Advertisin...,349,$0,336%
377,Moyyn,Berlin,Germany,,HRTech,89,$12.5M,332%
378,ZEDEDA,Silicon Va...,USA,$130M,Analytics,120,$16.8M,23%
379,GrayMatter Robo...,Los Angele...,USA,,Tech Servi...,77,$11.2M,80%
380,Professional Fi...,New York C...,,$173M,Sports,138,$22.1M,36%
381,Pair Eyewear,New York C...,USA,$148M,Babytech,137,$21.9M,22%
382,Seminole Casino...,Immokalee,USA,,Casinos,330,$15M,5%
383,Kodiak Robotics,Silicon Va...,USA,$165M,Transporta...,206,$72.6M,8%
384,RevBio,Boston,,$17.5M,Medical,30,$0,7%
385,TestFit,Dallas,USA,,Design,92,$22.4M,161%
386,Nth Cycle,Beverly,,$59.7M,Mining,53,$11.3M,47%
387,Longroad Energy...,Boston,USA,,Environmen...,193,$44.6M,17%
388,ALORICA AT HOME,Austin,USA,,Outsourcin...,743,$0,29%
389,Alorica,Orange Cou...,USA,$2.6M,Outsource,681,$148.8M,4%
390,Terran Orbital ...,Los Angele...,USA,,Aviatioon,428,$15M,27%
391,Amogy,New York C...,USA,,Environmen...,246,$56.8M,73%
392,Synchron,Silicon Va...,USA,,Medical Eq...,160,$40.2M,14%
393,ConductorOne,,,$5M,IT Securit...,63,$11.2M,71%
394,Real Broker,,USA,,Real Estat...,469,$87.9M,339%
395,Veralto,Boston,USA,,Manufactur...,566,$0,349%
396,SponsorUnited,New York C...,USA,$38.6M,Adtech,495,$100.6M,9%
397,Steves and Sons,San Antoni...,USA,,Wholesale ...,342,$15M,8%
398,Syzygy Plasmoni...,Houston,USA,$116M,Chemicals,112,$7.5M,11%
399,Bz Consultant,Ghaziabad,ind,,Recruiting,559,$83.8M,346%
400,BLEND360,Columbia,USA,,Marketing,569,$177.8M,4%
401,Jar,Bangalore,IND,$61.6M,Tech Servi...,545,$50.2M,89%
402,Sana Labs,Stockholm,SWE,,Tech Servi...,200,$31.2M,51%
403,Kyte,San Franci...,USA,$100M,Transporta...,196,$69.1M,9%
404,Cerby,San Franci...,USA,$32.5M,IT Securit...,105,$21.4M,64%
405,ev.energy,London,UK,,Utilities,166,$40.2M,64%
406,EverGlade Consu...,Washington...,,,Consulting,22,$2.4M,31%
407,esVolta,Orange Cou...,USA,,Utilities,91,$20M,89%
408,AandZ Pharmaceu...,Hauppauge,USA,,Pharma,563,$113.2M,339%
409,BRIDGE Housing ...,San Franci...,USA,,Real Estat...,336,$63M,14%
410,Novva,Salt Lake ...,USA,,Tech Servi...,69,$9M,128%
411,Mujin Corp.,Atlanta,USA,,Industrial,73,$23.2M,87%
412,Colossyan,Philadelph...,USA,$28.2M,AI,83,$11.6M,144%
413,Koya Medical,East Bay,USA,$37M,Medical Eq...,112,$28.1M,59%
414,PosiGen,Jefferson,USA,$280M,Environmen...,471,$125.6M,11%
415,Buyers Edge Pla...,Boston,USA,$455M,Hospitalit...,447,$144.2M,25%
416,FintechFinance,Tunbridge ...,,,Media,120,$24.6M,293%
417,Generate Capita...,San Franci...,USA,$2.1B,Energy,370,$58.8M,10%
418,TileDB,Boston,USA,,Tech Servi...,78,$11.3M,56%
419,Mullen Technolo...,Orange Cou...,USA,,Digital He...,182,$28M,42%
420,Thunder Valley ...,Lincoln,USA,,Casinos,984,$75M,9%
421,3STEP Sports,Boston,USA,,Sports,339,$67.8M,9%
422,Spotter,Los Angele...,USA,$255M,Tech Servi...,242,$37.7M,41%
423,Doceree,New York C...,USA,$47M,Marketing,182,$48.9M,41%
424,Society Brands,Canton,,$230M,Retail,57,$11.3M,5%
425,Tech-24,Greenville,USA,,Supplies,362,$35M,7%
426,DT Infrastructu...,Milton,aus,,Constructi...,875,$355.3M,430%
427,Acceldata,Silicon Va...,USA,$106M,Analytics,266,$40M,24%
428,Trullion,New York C...,USA,,Tech Servi...,86,$12.5M,36%
429,Monogram Health,Nashville,USA,$172M,Hospital/H...,561,$192.4M,14%
430,Daybreak Health,San Franci...,USA,,Health,146,$43.4M,51%
431,Arteria AI,Toronto,CAN,$50M,Fintech,84,$10.9M,51%
432,NineDot Energy,New York C...,,,Energy,44,$0,57%
433,YieldStreet,New York C...,USA,$163M,Fintech,361,$59.6M,3%
434,AssemblyAI,San Franci...,USA,$115M,AI,124,$17.4M,49%
435,Sunbit,Los Angele...,USA,$159M,Fintech,399,$65.9M,2%
436,Everstream Anal...,San Diego,USA,,Logistics,239,$80.2M,21%
437,DoodyCalls,Charlottes...,USA,,Environmen...,121,$19.7M,6%
438,Span.IO,San Franci...,USA,$231M,Environmen...,412,$109.9M,15%
439,Manufactured,Los Angele...,USA,,Logistics,112,$34.2M,131%
440,Hydrostor,Toronto,CAN,,Energy/Oil,100,$24.5M,46%
441,Topline Pro,New York C...,USA,,Technology...,43,$0,139%
442,Merge API,San Franci...,USA,,HRTech,122,$17.1M,47%
443,Office Evolutio...,Boulder,USA,,Executive,204,$15M,3%
444,CertifID,Grand Rapi...,USA,,Fintech,102,$13.3M,45%
445,Phoenix Tower I...,Miami,USA,$1.4B,Telecom,632,$260.9M,13%
446,Mechanical Engi...,Chennai,IND,,Oil and Ga...,485,$0,311%
447,Athelas,Silicon Va...,USA,$136M,Biotech,378,$82M,40%
448,Meow,New York C...,,,Tech Servi...,314,$57.8M,139%
449,Roofr,San Franci...,USA,$43.9M,Constructi...,154,$48M,44%
450,Pivot Energy,Toronto,CAN,,Environmen...,220,$50.8M,15%
451,Twelve Labs,San Franci...,USA,$27M,Software,56,$7.8M,130%
452,ThayerMahan,Groton,USA,$11M,Maritime,110,$29.1M,42%
453,Logik.io,Chicago,,$28.8M,Tech Servi...,101,$14.6M,85%
454,StarkWare,Tel Aviv,Israel,$262M,Fintech,216,$30.2M,26%
455,Turquoise Healt...,San Diego,USA,,Tech Servi...,123,$17.8M,39%
456,Madrigal Pharma,Philadelph...,USA,$38.4M,Pharma,474,$10.1M,235%
457,Lottie,London W1W...,,£3M,Tech Servi...,135,$19.6M,40%
458,Greyparrot,London,UK,,Tech Servi...,50,$5.8M,41%
459,GirlScript Summ...,Delhi,Ind,,Tech Servi...,816,$165.6M,410%
460,Epical,Espoo,fin,,Tech Servi...,329,$59.6M,290%
461,Milwaukee Tool ...,Melbourne,Aus,,Manufactur...,356,$0,6%
462,Axuall,Cleveland,USA,,Fintech,115,$14.9M,39%
463,Freshest,Hamilton,USA,,Food,189,$24M,25%
464,Dean Transporta...,Lansing,USA,,Transporta...,677,$277.6M,5%
465,CleanCapital,New York C...,USA,,Environmen...,89,$18.7M,36%
466,Bond Vet,New York C...,USA,,Veterinary,425,$15M,3%
467,Naborforce Inc....,Richmond,USA,,Social Ser...,125,$12.5M,35%
468,Spearmint Energ...,Miami,,,Finance,42,$6.7M,111%
469,ParkHub,Dallas,USA,$15.6M,IoT,93,$20.5M,7%
470,Doccla,London,UK,,Hospital/H...,179,$53.2M,121%
471,ClickHouse,,,$300M,Analytics,185,$28.5M,35%
472,Finch,,,,Tech Servi...,124,$18M,35%
473,Hex Technologie...,San Franci...,USA,,Analytics,114,$16M,34%
474,Netomnia,London,UK,,Telecom,211,$75.4M,35%
475,Aigen,Seattle,,$23M,Energy,56,$1.7M,65%
476,Thunder,San Franci...,USA,$21.8M,Consulting,197,$46.6M,34%
477,Bonumose,Charlottes...,USA,,Food,35,$7.6M,18%
478,Electronic Care...,Las Cruces,USA,$31.5M,Health,176,$51.1M,4%
479,TOCA Football,Orange Cou...,USA,$152M,Babytech,360,$73.2M,13%
480,AmpUp,Silicon Va...,USA,$150K,Environmen...,64,$11.7M,30%
481,Peloton,Calgary,CAN,,Energy/Oil,296,$78M,18%
482,Entrepreneur Fi...,London,UK,$22M,Fintech,789,$146.7M,18%
483,Arc,,,,Tech Servi...,149,$23.8M,117%
484,ConcertAI,Phoenix,USA,$300M,Furniture ...,889,$75M,26%
485,Clever Real Est...,St Louis,USA,$15.9M,Real Estat...,140,$22.6M,22%
486,Westlake Securi...,Austin,USA,,Investment...,134,$35M,269%
487,HTeaO,Midland,,,Restaurant...,346,$75.7M,38%
488,GlossGenius,New York C...,USA,,Tech Servi...,197,$31.4M,29%
489,Gather AI,Pittsburgh,USA,,Industrial,61,$19.4M,27%
490,Sciens Building...,San Franci...,USA,,Facilities,292,$76.8M,22%
491,University of A...,Little Roc...,USA,,Hospital/H...,94,$25.4M,28%
492,Sidebar,San Diego,USA,,Think Tank...,372,$0,281%
493,Membrion,Seattle,USA,,Environmen...,42,$7.1M,25%
494,Scythe Robotics,Boulder,USA,,Industrial,101,$35.7M,56%
495,Parallel Learni...,New York C...,USA,$11.3M,Health,132,$35.6M,27%
496,EVPassport,New York C...,USA,,Automotive,84,$27.7M,144%
497,Princeton Digit...,Singapore,SGP,$865M,Telecom,171,$59.7M,12%
498,Horizon3.ai,San Franci...,USA,$83.5M,IT Securit...,132,$26.9M,26%
499,Docker,San Franci...,USA,$530M,Business I...,901,$180.4M,44%
500,Primer AI,San Franci...,USA,$237M,AI,148,$22.3M,1%
501,National Eczema...,Novato,USA,,NonProfit,66,$7.5M,24%
502,Nfm Lending,Linthicum,USA,,Finance,997,$293.1M,0%
503,Onitio,Oslo,Norway,,Tech Servi...,520,$94.3M,300%
504,Xtant Medical,Belgrade,USA,$166.9M,Medical Eq...,182,$57.1M,24%
505,Zenobē,London,UK,,Utilities,319,$87.7M,33%
506,Summus,New York C...,USA,,Digital He...,114,$16M,24%
507,evolvedMD,Phoenix,USA,,Hospital/H...,174,$51.7M,53%
508,Kennywood Park,West Miffl...,USA,,Recreation,333,$35M,4%
509,Sentara Healthc...,Norfolk,USA,,Hospital/H...,164,$48.7M,38%
510,Roam,Miami,USA,$40.6M,Productivi...,44,$4.7M,24%
511,Svante,Vancouver,CAN,$493M,Environmen...,255,$57.6M,23%
512,Marathon Digita...,Las Vegas,USA,$720.9M,Hardware,100,$4M,107%
513,Overjet,Boston,USA,$133M,Analytics,200,$30.8M,23%
514,spectro cloud,Silicon Va...,USA,,Tech Servi...,174,$27.8M,22%
515,Tomorrow.io (fo...,,,,Tech Servi...,275,$43.9M,22%
516,Omnidian,Seattle,USA,$81.5M,Environmen...,243,$54.9M,22%
517,BasketHunt Pvt ...,Sahibganj,ind,,Software,388,$77.6M,273%
518,Merlin Labs,Boston,USA,$134M,Tech Servi...,131,$19M,36%
519,Liquid Instrume...,San Diego,USA,$22.9M,Edtech,100,$14M,20%
520,Hokodo,London,UK,,Fintech,143,$20.4M,20%
521,Mojo Vision,San Franci...,USA,$226M,Electronic...,107,$26.2M,3%
522,Samsung Electro...,Saint-Ouen,FRA,,Tech Servi...,584,$105.8M,7%
523,FINBOURNE Techn...,London,UK,,Tech Servi...,245,$39.1M,19%
524,Norwegian Cruis...,Miami,USA,$4.2B,Leisure,792,$170.1M,59%
525,Pomelo,Salt Lake ...,USA,$70M,Finance,43,$6.9M,41%
526,BRITE Energy In...,Warren,,,NonProfit,32,$0,14%
527,Asimily,Silicon Va...,USA,,Hospital/H...,84,$22.7M,16%
528,Office Building...,,,,Tech Servi...,104,$15.1M,16%
529,Battery Cell De...,Coeur d'Al...,USA,,Environmen...,151,$34.9M,18%
530,Virtual Incisio...,Lincoln,USA,,Medical Eq...,81,$20.3M,16%
531,Sanctuary AI,Vancouver,CAN,,Tech Servi...,152,$24.2M,16%
532,EVCS,Arcadia,,$28M,Automotive,55,$15.8M,11%
533,Goodwill Indust...,Orlando,USA,,NonProfit,422,$15M,8%
534,Runna,London,UK,,"Health, We...",59,$0,269%
535,Rhaeos,Chicago,USA,,Medical Eq...,29,$7.3M,14%
536,Shift5,Washington...,USA,,Tech Servi...,123,$17.8M,15%
537,Uniswap,New York C...,USA,$176M,Tech Servi...,154,$24M,1%
538,Space Perspecti...,Merritt Is...,USA,,Aviation,141,$38.2M,15%
539,Florida Communi...,Orlando,USA,$1.1M,NonProfit,21,$3.5M,11%
540,Dorney Park and...,Allentown,USA,,Entertainm...,497,$127.4M,7%
541,ASML,Phoenix,USA,,Machinery,337,$17.9B,8%
542,Mosaic.tech,San Diego,USA,$46M,Analytics,114,$16M,14%
543,Anvilogic,Silicon Va...,USA,$85M,Tech Servi...,90,$13.1M,13%
544,ventureLAB,Markham,CAN,CA$6.7M,Tech Servi...,91,$13.2M,13%
545,Amperon,New York C...,USA,,Energy/Oil,107,$26.2M,100%
546,Collage Group,Washington...,USA,,Technology,365,$92.2M,180%
547,dakotawm.com,Palm Beach...,USA,,Investment...,80,$18.2M,40%
548,ID.me,Washington...,USA,$279M,IT Securit...,979,$285.6M,6%
549,STACK INFRASTRU...,Denver,USA,$1.4B,Tech Servi...,586,$107.9M,42%
550,Charac,London,,$5.12M,Tech Servi...,17,$567k,7%
551,Vedanta Bioscie...,Boston,USA,$338M,Biotech,178,$34.5M,29%
552,Forge Nano,Denver,USA,,Technology,100,$20.2M,38%
553,Lindus Health,London,,$23M,Research,90,$9.2M,95%
554,Waterplan (YC S...,San Franci...,USA,$2.7M,Tech Servi...,89,$12.9M,10%
555,PlantSwitch,Dallas,,,Energy,20,$1.7M,5%
556,Leap Energy,San Franci...,USA,,Utilities,142,$34.4M,10%
557,IQ Fiber,Jacksonvil...,USA,,Tech Servi...,90,$13.1M,54%
558,Laka,London,UK,,Insurance,153,$37M,10%
559,Battle Motors (...,New Philad...,USA,,HRTech,257,$39.6M,10%
560,Carta Healthcar...,San Franci...,USA,$17.3M,Digital He...,92,$12.9M,10%
561,Banzai,Seattle,USA,$21.2M,Martech,93,$13M,10%
562,Huntress Labs,Ellicott C...,USA,$59.8M,IT Securit...,394,$102.1M,19%
563,Teachers Recrui...,Indore,ind,,Recruiting,735,$123.5M,319%
564,Rainbow Realty ...,Great Neck,,,Real Estat...,28,$2.1M,4%
565,Gappify,East Bay,USA,,Tech Servi...,83,$12M,8%
566,First Resonance,Los Angele...,USA,,Industrial,60,$19.1M,7%
567,Phathom Pharmac...,Florham Pa...,,$90M,Biotech,450,$14.9M,200%
568,PGT Innovations,Los Angele...,USA,$123.5M,Materials,511,$1.1B,24%
569,Swift Current E...,Boston,USA,,Environmen...,113,$23.7M,36%
570,Mesh Payments,New York C...,USA,$123M,Fintech,179,$25M,8%
571,Phylos,Portland,USA,$26.4M,Cannabis,63,$14.8M,7%
572,Cabrillo Econom...,Ventura,,,Nonprofit,59,$0,2%
573,None,Brisbane C...,aus,,Consulting,460,$126.5M,270%
574,Language I/O,Cheyenne,USA,$22.4M,Tech Servi...,65,$8.2M,7%
575,BrainCheck,Houston,USA,$36.8M,Digital He...,68,$8.3M,7%
576,Helion Energy,Seattle,USA,,Environmen...,288,$42.6M,48%
577,Consensus,Salt Lake ...,USA,$143M,Tech Servi...,248,$38.7M,21%
578,Budderfly,New York C...,USA,$84.8M,Facilities,253,$65M,33%
579,Break Through T...,New York C...,USA,,Education,347,$78.1M,259%
580,Disc Medicine,Boston,USA,$203M,Biotech,101,$15.7M,63%
581,Open Book Extra...,Roxboro,USA,,"Health, We...",63,$15M,5%
582,DealMaker,Toronto,CAN,,Legal,113,$30.5M,5%
583,Peak Power,Toronto,CAN,$35M,Clean Tech,82,$11.1M,5%
584,ThinCats,Ashby de l...,UK,,Finance,122,$25.6M,5%
585,Spot AI,Silicon Va...,USA,,AI,140,$21.6M,6%
586,GiGstreem,Washington...,USA,$119M,Telecom,84,$27.3M,33%
587,Nanonets,San Franci...,USA,,Informatio...,168,$3.3M,91%
588,Nanonets,San Franci...,USA,,Informatio...,168,$3.3M,91%
589,Remarkable.com,Lakeland N...,USA,$15M,Electronic...,491,$150.4M,11%
590,reMarkable,Oslo,Norway,$24M,Electronic...,491,$150.4M,11%
591,Eatron Technolo...,Warwick,UK,$15.1M,AI,92,$12.9M,5%
592,Alloy Enterpris...,Boston,USA,,Engineerin...,76,$7.6M,91%
593,Multiplier,Singapore,SGP,$77.2M,HRTech,634,$112.7M,38%
594,Trend Health Pa...,Hunt Valle...,USA,,Hospital/H...,177,$52.6M,33%
595,VitalConnect,Silicon Va...,USA,$140M,Medical Eq...,168,$52.7M,5%
596,SchoolStatus,Ridgeland,USA,,Analytics,406,$71M,139%
597,AIClearing,Austin,USA,,Constructi...,127,$36.8M,89%
598,rewind.ai,Ottawa,Canada,$34.3M,Tech Servi...,32,$3.5M,67%
599,ZERO TO THREE,Washington...,USA,,Research,384,$49M,13%
600,Owner.com,Silicon Va...,USA,,Tech Servi...,90,$13.1M,4%
601,No Work No Cash,Cincinnati,USA,,Media,366,$93.8M,256%
602,Colorcast,Austin,USA,$7.33M,Media,66,$11.8M,91%
603,SafelyYou,San Franci...,USA,$59.5M,Digital He...,95,$13.3M,2%
604,Foodsmart,San Franci...,USA,$86M,Digital He...,366,$65.1M,98%
605,Layr,Atlanta,USA,,Insurance,76,$16.7M,2%
606,Obama Foundatio...,,USA,,Edtech,747,$146.4M,12%
607,Cleerly,New York C...,USA,$472M,Digital He...,167,$25.1M,18%
608,THINK Surgical,East Bay,USA,$277M,Medical Eq...,233,$73.1M,9%
609,ECO3,Mortsel,bel,,Printing S...,454,$0,266%
610,Hello Heart,Silicon Va...,USA,$137M,Digital He...,259,$39M,31%
611,Boutique Recrui...,San Diego,USA,,Recruiting,159,$21M,247%
612,Viome,Silicon Va...,USA,$277M,Digital He...,90,$12.6M,2%
613,Element Energy,Silicon Va...,USA,,Environmen...,81,$17M,31%
614,Imprint,New York C...,USA,,Finance,154,$35.6M,31%
615,Venus Aerospace,Orange Cou...,USA,$3.2M,Aviation,81,$19.9M,1%
616,OpenFin,New York C...,USA,$82M,Fintech,124,$16.1M,2%
617,Sabin Vaccine I...,Washington...,USA,,NonProfit,136,$15M,2%
618,Oula,New York C...,USA,,Hospital/H...,134,$36.2M,44%
619,Ategrity Specia...,Phoenix,USA,,Insurance,131,$28.8M,29%
620,Warren Equity P...,Jacksonvil...,USA,,Investment...,63,$12.9M,29%
621,Mamaearth,Gurgaon,IND,$89.4M,Digital He...,632,$56.2M,33%
622,TeraWulf,Easton,USA,,Environmen...,23,$3.4M,19%
623,Nirvana,San Franci...,USA,,Insurance,171,$25.3M,38%
624,Madison Reed,San Franci...,USA,$250M,Cosmetics,390,$35M,8%
625,Zeta Energy,Houston,,$27.2M,Electronic...,43,$8M,37%
626,Samsung Electro...,Chertsey,UK,,Electronic...,603,$184.7M,3%
627,LucidLink,San Franci...,USA,,Tech Servi...,152,$24.2M,28%
628,Betterfly,Santiago,Chile,$202M,HRTech,465,$82.7M,5%
629,Workbox Company,Chicago,,,Leasing Re...,48,$3.5M,35%
630,Altana Trade,New York C...,USA,$123M,AI,183,$27.5M,27%
631,Uwill,Greater Bo...,,$38.5M,Tech Servi...,132,$19.1M,56%
632,Humane,San Franci...,USA,$241M,Electronic...,313,$97.4M,35%
633,Chapter,New York C...,,$61M,Consumer,103,$25.9M,26%
634,ClassWallet,Miami,USA,,Fintech,142,$20.3M,26%
635,Tavus,San Franci...,USA,$24.2M,Software,33,$4M,72%
636,B.B. Energy,,,$500M,Energy/Oil,414,$128.8M,16%
637,Pair Team,San Franci...,USA,$10M,Digital He...,78,$10.9M,80%
638,Xeris Pharmaceu...,Chicago,USA,$155M,Pharma,391,$35.3M,148%
639,Yuka,Paris,France,,Health,105,$28.4M,235%
640,CodePath.org,San Franci...,USA,$6.25M,EdTech,521,$92.6M,25%
641,Yuvo,New York C...,,$7.3M,Hospital/H...,50,$10.3M,71%
642,Snaptrude,,,,3D,85,$14.4M,82%
643,Aviation Capita...,Orange Cou...,USA,,Aviation,166,$43.9M,10%
644,Divert,Boston,USA,,Environmen...,206,$47.6M,24%
645,EVgo,Los Angele...,USA,,Automotive,398,$19.3M,3%
646,Forage,San Franci...,USA,$36.9M,EdTech,626,$111.3M,25%
647,Sonatus,Silicon Va...,USA,,Automotive,173,$62.8M,23%
648,PDQ.com,,,,Tech Servi...,216,$34.5M,23%
649,Recogni,Silicon Va...,USA,$176M,Hardware,95,$38M,22%
650,Ditto,San Franci...,USA,,Tech Servi...,129,$18.7M,80%
651,Arietis Health,Fort Myers,USA,,Hospital/H...,212,$63M,235%
652,Eagle Eye Netwo...,Austin,USA,$175M,Security,596,$131.7M,50%
653,Check,New York C...,USA,$119M,Fintech,175,$24.5M,22%
654,WeWALK,London,,$3.16M,Electronic...,37,$6.9M,67%
655,Voodoo Doughnut,Portland,USA,,Food,206,$61.2M,21%
656,Fortanix,Silicon Va...,USA,$122M,IT Securit...,298,$65.4M,16%
657,IVX Health,Nashville,USA,$153M,Medical Of...,328,$112.5M,29%
658,Mohawk Valley H...,Utica,USA,,Hospital/H...,604,$203.8M,8%
659,Compa,Orange Cou...,,$13.9M,Tech Servi...,60,$7.6M,78%
660,Allica Bank,London,UK,,Finance,606,$159.1M,36%
661,AmeriTex Pipe a...,Seguin,USA,$130M,Constructi...,289,$90.1M,20%
662,Spotnana,San Franci...,USA,,Tech Servi...,272,$43.4M,21%
663,Yes Energy,Boulder,USA,,Tech Servi...,268,$42.7M,49%
664,Kings Dominion,Doswell,USA,,Entertainm...,614,$157.3M,7%
665,Fathom Health,San Franci...,USA,,AI,97,$13.6M,78%
666,carcapital,Dallas,USA,,Finance,70,$13.2M,76%
667,Four Corners Pr...,Mill Valle...,USA,,Real Estat...,44,$5.3M,8%
668,Birch Creek Dev...,Los Angele...,USA,,Energy,46,$3.5M,64%
669,Metropolis,Los Angele...,USA,$333M,AI,633,$112.5M,5%
670,Tidal Wave Auto...,Thomaston,USA,,Automotive,643,$265.2M,48%
671,Opportunity Fin...,Washington...,USA,,Fintech,108,$14M,17%
672,9fin,London,UK,,Fintech,548,$97.5M,73%
673,Eavor Technolog...,Calgary,CAN,,Environmen...,87,$18.3M,74%
674,Luxury Presence,Los Angele...,USA,$52.6M,Martech,670,$119.1M,4%
675,EY Polska,Warszawa,POL,,Accounting,422,$86M,22%
676,ConnexPay,Minneapoli...,USA,$145M,Fintech,105,$13.7M,16%
677,Ignite! Reading,San Franci...,USA,,Education,432,$97.2M,179%
678,Stepful,,USA,,Profession...,57,$0,148%
679,Brivo,Washington...,USA,,Security,456,$99.2M,35%
680,Stampli,Silicon Va...,USA,$148M,EdTech,293,$44.1M,31%
681,SetPoint Medica...,Valencia,USA,$248M,Medical Eq...,102,$25.6M,17%
682,HAAS Alert,Chicago,USA,$5.12M,Automotive,76,$25.1M,71%
683,Arcadia Cold,Atlanta,USA,,Transporta...,57,$16.8M,91%
684,Orennia,Calgary,,,Environmen...,102,$21.4M,73%
685,Nibiru Chain,Silicon Va...,,$20.5M,Software,29,$2.3M,65%
686,BOLLINGER MOTOR...,Ferndale,USA,,Automotive,133,$43.9M,73%
687,Persona Identit...,San Franci...,USA,$218M,IT Securit...,310,$80.3M,23%
688,Prismatic,Sioux Fall...,USA,,Tech Servi...,60,$7.8M,71%
689,Pajarito Powder,Albuquerqu...,USA,,Automotive,27,$6.2M,17%
690,Workling,Silicon Va...,USA,,Tech Servi...,102,$14.8M,227%
691,Jinx,Los Angele...,,$51.5M,Consumer,48,$9.2M,59%
692,A-MAX Auto Insu...,Dallas,USA,,Insurance,239,$57.8M,1%
693,GoldenTree Asse...,New York C...,USA,$3.3B,Investment...,339,$97.7M,8%
694,Parkinson's Fou...,New York C...,USA,,NonProfit,403,$35M,5%
695,15Five,San Franci...,USA,$98.1M,HRtech,758,$151.8M,133%
696,Syra Health,Carmel,USA,,Hospital/H...,135,$36.5M,72%
697,Cover Genius,New York C...,USA,$165M,Fintech,569,$93.9M,13%
698,Workshop,Omaha,USA,,Software,545,$109M,98%
699,Rattle,San Franci...,USA,$165M,Tech Servi...,121,$17.5M,69%
700,Coro,,USA,,Computer a...,343,$0,21%
701,Snorkel AI,Silicon Va...,USA,$138M,AI,148,$22.3M,13%
702,Chicken N Pickl...,Kansas Cit...,USA,,Entertainm...,480,$123M,31%
703,HouseWorks,Boston,USA,,Hospital/H...,262,$77.8M,99%
704,Kustomer,New York C...,USA,$234M,Support/CR...,198,$29.8M,136%
705,TRACTIAN,Sao Paulo,Brazil,,Tech Servi...,355,$32.2M,78%
706,Comporium Commu...,Rock Hill,USA,,Telecom,725,$336.9M,2%
707,Personal.ai,,,,AI,61,$7.7M,159%
708,Empowerly,San Franci...,USA,$30M,EdTech,120,$16.8M,68%
709,ReCode Therapeu...,Menlo Park,USA,,Biotech,155,$24M,26%
710,Money View,Bangalore,IND,$219M,Fintech,744,$69.2M,30%
711,Coralogix,San Franci...,USA,$238M,DevOps,316,$56.2M,20%
712,On.Energy,Miami,USA,,Environmen...,109,$22.9M,12%
713,Ample,San Franci...,USA,,Automotive,251,$91.1M,11%
714,OneCard,Pune,IND,$223M,Fintech,704,$65.4M,29%
715,Metagenomi,East Bay,USA,$376M,Biotech,311,$67.5M,33%
716,Hakkoda,New York C...,USA,,Tech Servi...,271,$43.2M,67%
717,Clarience Techn...,Detroit,USA,,Electronic...,117,$28.7M,9%
718,SPR Therapeutic...,Cleveland,USA,$174M,Medical Eq...,310,$108.9M,18%
719,Walker's Bluff ...,Cartervill...,USA,,Gambling F...,36,$0,80%
720,Boom Supersonic,Denver,USA,$270M,Aviation,352,$110M,2%
721,Open Cosmos Ltd...,Harwell,UK,,Defense,114,$35.1M,65%
722,Swimlane,Boulder,USA,$159M,IT Securit...,254,$55.7M,8%
723,CropX Technolog...,Netanya,Israel,$51.4M,Farming,85,$3.5M,8%
724,Core Scientific,Seattle,USA,$49M,Fintech,203,$28.4M,8%
725,NetSPI,Minneapoli...,USA,$500M,IT Securit...,611,$158.3M,22%
726,Clair,New York C...,USA,,Finance,77,$16.2M,7%
727,Relay Financial,Toronto,CAN,$43.3M,Banking,168,$37.9M,65%
728,Connectd,London,UK,,Tech Servi...,153,$24.4M,65%
729,Handle.com,,USA,,Software,39,$5M,52%
730,Carefull,New York C...,USA,,Consumer,62,$14M,65%
731,Infinium,Sacramento,USA,,Environmen...,69,$13M,5%
732,Vivante Health,Houston,USA,$77.9M,Digital He...,159,$23.9M,64%
733,Small Door Vete...,New York C...,USA,,Veterinary,161,$7.5M,21%
734,Spotted Zebra,London,,$11.2M,HR,54,$9.4M,132%
735,Azimuth GRC,Jacksonvil...,USA,,Tech Servi...,52,$6.8M,47%
736,Knoebels Amusem...,Elysburg,USA,,Entertainm...,279,$62.9M,7%
737,AI BUILD,London,UK,,3D,60,$9.2M,61%
738,Aisera,Silicon Va...,USA,$180M,AI,293,$44.1M,6%
739,BiVACOR,Houston,USA,,Medical Eq...,59,$14.8M,45%
740,INSHUR,New York C...,USA,$35M,Fintech,165,$23.1M,30%
741,Bioenergy Devco,Columbia,USA,$236M,Environmen...,71,$13M,5%
742,Panasonic,New York C...,USA,,Electronic...,525,$118.8M,3%
743,doola,New York C...,USA,,Technology...,47,$0,47%
744,Encamp,Indianapol...,USA,$51.1M,Tech Servi...,69,$8.7M,2%
745,Teamworks,Raleigh Du...,USA,$95M,Tech Servi...,460,$84.7M,23%
746,Greenfly,Los Angele...,USA,$51.8M,Media,81,$16.6M,33%
747,KEO World,Miami,USA,,Finance,136,$28.6M,5%
748,Kitchen United,Los Angele...,USA,$50M,Food,217,$63M,0%
749,Morgan Sindall ...,Rugby,uk,,Constructi...,438,$158.8M,236%
750,SpyCloud,Austin,USA,$93.5M,IT Securit...,228,$50M,27%
751,myGwork,London,,$4.55M,Tech Servi...,108,$15.7M,61%
752,Bob W.,Helsinki,,,Hospitalit...,270,$75.4M,61%
753,Quantela,,,$40M,Tech Servi...,270,$42.1M,32%
754,SmithRX,San Franci...,USA,,Analytics,360,$63M,69%
755,Weev,,,$61.8M,Retail,57,$11.3M,221%
756,Bicycle Health,Boston,USA,,Hospital/H...,255,$75.7M,4%
757,Dedrone,San Franci...,USA,$130M,IT Securit...,153,$33.6M,33%
